"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3108","has title","chromium","Mon Jul 07 21:24:03 IST 2025","passed","Mon Jul 07 21:24:06 IST 2025","","example.spec.js","",""
"","3878","get started link","chromium","Mon Jul 07 21:24:03 IST 2025","passed","Mon Jul 07 21:24:07 IST 2025","","example.spec.js","",""
